"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1415677_at","Dhrs1","52585","dehydrogenase/reductase 1",0.143996963811107,8.02264812914938,0.403104296973574,0.690521249616283,0.690521249616283,-5.3476223032976
"2","1415682_at","Xpo7","65246","exportin 7",-0.219071835252844,10.1755051631712,-0.443061894938372,0.661779219667545,0.661779219667545,-5.33354064022255
"3","1415703_at","Huwe1","59026","HECT, UBA and WWE domain containing 1",-0.0494540636536822,8.24180596299755,-0.12893898658653,0.898504848129687,0.898504848129687,-5.40865117118858
"4","1415708_at","Tug1","544752","taurine upregulated gene 1",-0.174751770539807,9.35339096390729,-0.479051622694311,0.636336488050103,0.636336488050103,-5.3197422959143
"5","1415758_at","Fryl","72313","FRY like transcription coactivator",-0.353136902139637,8.69134329529062,-0.913557861800209,0.370242007810317,0.370242007810317,-5.0721360994764
"6","1415794_a_at","Spin1","20729","spindlin 1",-0.172845860730007,7.91152357561837,-0.421565715496595,0.67717928578344,0.67717928578344,-5.34127852303417
"7","1415802_at","Slc16a1","20501","solute carrier family 16 (monocarboxylic acid transporters), member 1",-0.409167437846968,9.85546454081966,-0.922648440899262,0.365581684933119,0.365581684933119,-5.065410654563
"8","1415822_at","Scd2","20250","stearoyl-Coenzyme A desaturase 2",0.334676271014252,6.94727108783974,0.774500098576473,0.446370228752872,0.446370228752872,-5.1673049704067
"9","1415837_at","Klk1","16612","kallikrein 1",-0.713474352286949,5.2211947744193,-1.23825945182291,0.22786684177755,0.22786684177755,-4.79526968640864
"10","1415839_a_at","Npm1","18148","nucleophosmin 1",-0.0897431754276603,9.00004698694576,-0.201483207926987,0.842057347783562,0.842057347783562,-5.39859135505542
"11","1415840_at","Elovl5","68801","ELOVL fatty acid elongase 5",0.0296078493635399,9.3991835959561,0.0772817731605501,0.939054651028504,0.939054651028504,-5.41312586757437
"12","1415869_a_at","Trim28","21849","tripartite motif-containing 28",-0.287843895170509,8.91698731761763,-0.656759238881025,0.517726273285214,0.517726273285214,-5.23631496141273
"13","1415871_at","Tgfbi","21810","transforming growth factor, beta induced",0.189587175283496,9.4042105373831,0.288910250721254,0.77518732394309,0.77518732394309,-5.38062866855902
"14","1415872_at","Hnrnph1","59013","heterogeneous nuclear ribonucleoprotein H1",-0.112612063315408,8.53767561151209,-0.245614169390799,0.80811666388411,0.80811666388411,-5.39031991005528
"15","1415897_a_at","Mgst1","56615","microsomal glutathione S-transferase 1",0.410531835799269,10.6257481272006,0.556778880173494,0.582950951254736,0.582950951254736,-5.28636267292679
"16","1415904_at","Lpl","16956","lipoprotein lipase",0.273650066062236,7.41123703603335,0.63308079431007,0.532803478724641,0.532803478724641,-5.24888438511004
"17","1415936_at","Bcar3","29815","breast cancer anti-estrogen resistance 3",-0.119202790815939,7.80715827450219,-0.208496842995243,0.836640443498406,0.836640443498406,-5.39738540967067
"18","1415964_at","Scd1","20249","stearoyl-Coenzyme A desaturase 1",-0.0148048268739238,9.67570265703831,-0.0192435478252594,0.98480953063003,0.98480953063003,-5.415480022987
"19","1415994_at","Cyp2e1","13106","cytochrome P450, family 2, subfamily e, polypeptide 1",1.5700171260151,6.83847432382484,1.43823510713714,0.163573203221998,0.163573203221998,-4.58940373198264
"20","1415996_at","Txnip","56338","thioredoxin interacting protein",0.142963065176822,9.92611690427499,0.35032086308829,0.729223410029002,0.729223410029002,-5.36421606363068
"21","1416007_at","Satb1","20230","special AT-rich sequence binding protein 1",-0.480271266856775,9.33825568781016,-0.725003589227697,0.475618825707106,0.475618825707106,-5.1976274899816
"22","1416015_s_at","Abce1","24015","ATP-binding cassette, sub-family E member 1",0.0889891239182532,6.77965743617911,0.219537934023852,0.828129770208923,0.828129770208923,-5.39540375054939
"23","1416021_a_at","Fabp5","16592","fatty acid binding protein 5, epidermal",0.816551176908767,7.29682907757448,1.5187245137111,0.14219287271985,0.14219287271985,-4.4995267001454
"24","1416025_at","Fgg","99571","fibrinogen gamma chain",3.30029828857149,6.99248847558869,2.80263355161816,0.00999471586932785,0.00999471586932785,-2.6524711678213
"25","1416064_a_at","Hspa5","14828","heat shock protein 5",0.464943064468565,10.2923144690416,1.30394798801287,0.204899900354646,0.204899900354646,-4.73047323274748
"26","1416065_a_at","Ankrd10","102334","ankyrin repeat domain 10",-0.436519838945786,8.11587551139492,-0.691920120316622,0.495778292405133,0.495778292405133,-5.21683683371535
"27","1416071_at","Ddx18","66942","DEAD box helicase 18",-0.0841225999622086,7.44750530505355,-0.235337060874792,0.815989055400981,0.815989055400981,-5.39239121847725
"28","1416082_at","Rab1a","19324","RAB1A, member RAS oncogene family",0.22376137421174,10.5133199595684,0.614300605472378,0.544927986031594,0.544927986031594,-5.25853851277546
"29","1416106_at","Kti12","100087","KTI12 homolog, chromatin associated",-0.228151693878916,7.09578908923387,-0.585330143355156,0.563913555383866,0.563913555383866,-5.27288187258037
"30","1416107_at","Nsg2","18197","neuron specific gene family member 2",-0.338714699710303,8.26172099816511,-0.461075131254906,0.648990339718483,0.648990339718483,-5.32676617136582
"31","1416111_at","Cd83","12522","CD83 antigen",-0.331252671310613,7.43673899734793,-0.406895592247825,0.687772754420015,0.687772754420015,-5.34634230655505
"32","1416119_at","Txn1","22166","thioredoxin 1",0.0278658606613984,11.2913946957763,0.0479018764713333,0.962199861765489,0.962199861765489,-5.41467132258073
"33","1416125_at","Fkbp5","14229","FK506 binding protein 5",0.663675315756986,8.4849700176396,1.13214823431901,0.269010393639371,0.269010393639371,-4.89385627171488
"34","1416145_at","Dhx15","13204","DEAH-box helicase 15",-0.253804461675134,9.64727734736868,-0.626592343924825,0.536975945941462,0.536975945941462,-5.25225141160166
"35","1416165_at","Rab31","106572","RAB31, member RAS oncogene family",0.296571589687602,8.41425674026026,0.664350773047422,0.512942576985421,0.512942576985421,-5.2321915798153
"36","1416203_at","Aqp1","11826","aquaporin 1",-0.123629956346784,11.1627865047236,-0.314221852206385,0.756129508189821,0.756129508189821,-5.37424203145932
"37","1416206_at","Sipa1","20469","signal-induced proliferation associated gene 1",-0.543954012532604,8.58786990726897,-1.33018583433574,0.196243051228665,0.196243051228665,-4.70380723303813
