"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1415677_at","Dhrs1","52585","dehydrogenase/reductase 1",-0.40831101289795,8.02264812914938,-1.14302357108519,0.264558296142821,0.264558296142821,-4.58936068829677
"2","1415682_at","Xpo7","65246","exportin 7",0.364095530173417,10.1755051631712,0.736365107596052,0.468807555353826,0.468807555353826,-4.60513326652842
"3","1415703_at","Huwe1","59026","HECT, UBA and WWE domain containing 1",0.117458307859154,8.24180596299755,0.306242886076771,0.762120714030771,0.762120714030771,-4.61485442470517
"4","1415708_at","Tug1","544752","taurine upregulated gene 1",0.0282761283353228,9.35339096390729,0.0775140939671532,0.938871821631917,0.938871821631917,-4.61679972361241
"5","1415758_at","Fryl","72313","FRY like transcription coactivator",0.201545130162533,8.69134329529062,0.521393083112913,0.606979955208108,0.606979955208108,-4.61095139047998
"6","1415794_a_at","Spin1","20729","spindlin 1",0.0276203130708321,7.91152357561837,0.0673650904497703,0.946861835919505,0.946861835919505,-4.61683243146178
"7","1415802_at","Slc16a1","20501","solute carrier family 16 (monocarboxylic acid transporters), member 1",0.439112354317805,9.85546454081966,0.990172461481296,0.332192037801342,0.332192037801342,-4.59597160750141
"8","1415822_at","Scd2","20250","stearoyl-Coenzyme A desaturase 2",0.106475100632672,6.94727108783974,0.24640221933282,0.807513849647261,0.807513849647261,-4.61558566879368
"9","1415837_at","Klk1","16612","kallikrein 1",-0.422092984201057,5.2211947744193,-0.732556994599423,0.47108410789088,0.47108410789088,-4.60525233462175
"10","1415839_a_at","Npm1","18148","nucleophosmin 1",0.279278766235208,9.00004698694576,0.627011262514538,0.536706028384695,0.536706028384695,-4.60832544065781
"11","1415840_at","Elovl5","68801","ELOVL fatty acid elongase 5",0.0674680191665118,9.3991835959561,0.176103576075295,0.861723715256435,0.861723715256435,-4.61624413483501
"12","1415869_a_at","Trim28","21849","tripartite motif-containing 28",0.170438050529242,8.91698731761763,0.388880105571261,0.700871586445633,0.700871586445633,-4.61358903426818
"13","1415871_at","Tgfbi","21810","transforming growth factor, beta induced",-0.948374823069589,9.4042105373831,-1.44522016059918,0.161620751453329,0.161620751453329,-4.57417665177013
"14","1415872_at","Hnrnph1","59013","heterogeneous nuclear ribonucleoprotein H1",0.426352441792492,8.53767561151209,0.929902159463174,0.361891126153098,0.361891126153098,-4.59835963960889
"15","1415897_a_at","Mgst1","56615","microsomal glutathione S-transferase 1",-1.36223314527702,10.6257481272006,-1.84751237059581,0.0773204377083096,0.0773204377083096,-4.55043947112009
"16","1415904_at","Lpl","16956","lipoprotein lipase",-0.264601598698523,7.41123703603335,-0.612147450538812,0.546327338654534,0.546327338654534,-4.60872251454413
"17","1415936_at","Bcar3","29815","breast cancer anti-estrogen resistance 3",0.453556447672506,7.80715827450219,0.793312696897106,0.435545297451417,0.435545297451417,-4.60328602933471
"18","1415964_at","Scd1","20249","stearoyl-Coenzyme A desaturase 1",0.569046496918316,9.67570265703831,0.739655625256336,0.466845661143004,0.466845661143004,-4.60502992892979
"19","1415994_at","Cyp2e1","13106","cytochrome P450, family 2, subfamily e, polypeptide 1",-0.523436748058143,6.83847432382484,-0.47950120731083,0.636021443152893,0.636021443152893,-4.61186527164881
"20","1415996_at","Txnip","56338","thioredoxin interacting protein",-0.0641246810748388,9.92611690427499,-0.157132988101607,0.876484404420421,0.876484404420421,-4.61638449329709
"21","1416007_at","Satb1","20230","special AT-rich sequence binding protein 1",0.250488177734075,9.33825568781016,0.378129695546554,0.708733763462826,0.708733763462826,-4.61377030443023
"22","1416015_s_at","Abce1","24015","ATP-binding cassette, sub-family E member 1",0.249962296017006,6.77965743617911,0.616661942889136,0.543395516175312,0.543395516175312,-4.60860285782571
"23","1416021_a_at","Fabp5","16592","fatty acid binding protein 5, epidermal",-0.505694676365701,7.29682907757448,-0.940554521465838,0.356516621812285,0.356516621812285,-4.59794689384007
"24","1416025_at","Fgg","99571","fibrinogen gamma chain",-0.293932573410511,6.99248847558869,-0.249609344405755,0.805061837345794,0.805061837345794,-4.61555044827764
"25","1416064_a_at","Hspa5","14828","heat shock protein 5",-0.340713717996774,10.2923144690416,-0.955542734201412,0.34904568388957,0.34904568388957,-4.59735932994629
"26","1416065_a_at","Ankrd10","102334","ankyrin repeat domain 10",0.290703644077977,8.11587551139492,0.460789367266067,0.649192379501753,0.649192379501753,-4.61224970208713
"27","1416071_at","Ddx18","66942","DEAD box helicase 18",0.158584618898863,7.44750530505355,0.44364817692717,0.661361289735819,0.661361289735819,-4.61258889987648
"28","1416082_at","Rab1a","19324","RAB1A, member RAS oncogene family",-0.447926729873167,10.5133199595684,-1.22971027657334,0.230994486850973,0.230994486850973,-4.58527742466685
"29","1416106_at","Kti12","100087","KTI12 homolog, chromatin associated",0.0269911422954996,7.09578908923387,0.0692466004549099,0.94538012239747,0.94538012239747,-4.61682671353004
"30","1416107_at","Nsg2","18197","neuron specific gene family member 2",0.494026025924898,8.26172099816511,0.672492557723303,0.507839520574904,0.507839520574904,-4.6070553225635
"31","1416111_at","Cd83","12522","CD83 antigen",0.564687033952715,7.43673899734793,0.693635659467347,0.494721106696205,0.494721106696205,-4.6064368384299
"32","1416119_at","Txn1","22166","thioredoxin 1",-0.804333998155062,11.2913946957763,-1.38266347806334,0.179787814014888,0.179787814014888,-4.57753057509098
"33","1416125_at","Fkbp5","14229","FK506 binding protein 5",-0.65179926989166,8.4849700176396,-1.1118891648043,0.277449493566038,0.277449493566038,-4.59076966203641
"34","1416145_at","Dhx15","13204","DEAH-box helicase 15",0.196948733867403,9.64727734736868,0.486226947991801,0.631316800585198,0.631316800585198,-4.61172349592729
"35","1416165_at","Rab31","106572","RAB31, member RAS oncogene family",-0.698361410127101,8.41425674026026,-1.56440117265832,0.131112099001733,0.131112099001733,-4.56751405997245
"36","1416203_at","Aqp1","11826","aquaporin 1",0.45014643150779,11.1627865047236,1.14410657135326,0.264117919831696,0.264117919831696,-4.58931112025251
